mRNA	microRNA	lncRNA
DENR	hsa-miR-195-5p	SNHG12
DENR	hsa-miR-497-5p	SNHG12
DEPDC1B	hsa-miR-497-5p	SNHG12
DKC1	hsa-miR-181a-5p	SNHG12
DKC1	hsa-miR-181c-5p	SNHG12
DNAJC9	hsa-miR-497-5p	SNHG12
DPYSL3	hsa-miR-16-5p	SNHG12
E2F7	hsa-miR-181c-5p	SNHG12
E2F7	hsa-miR-195-5p	SNHG12
E2F7	hsa-miR-497-5p	SNHG12
EED	hsa-miR-497-5p	SNHG12
EFTUD2	hsa-miR-195-5p	SNHG12
EFTUD2	hsa-miR-497-5p	SNHG12
EIF2C2	hsa-miR-195-5p	SNHG12
EIF3J	hsa-miR-199a-5p	SNHG12
EIF3J	hsa-miR-199b-5p	SNHG12
EPT1	hsa-miR-181a-5p	SNHG12
EPT1	hsa-miR-181c-5p	SNHG12
EPT1	hsa-miR-195-5p	SNHG12
EPT1	hsa-miR-497-5p	SNHG12
ERCC6L	hsa-miR-181a-5p	SNHG12
ERCC6L	hsa-miR-181c-5p	SNHG12
EXO1	hsa-miR-181a-5p	SNHG12
EXO1	hsa-miR-181c-5p	SNHG12
EXOSC2	hsa-miR-181c-5p	SNHG12
FAM73A	hsa-miR-15a-5p	SNHG12
FAM91A1	hsa-miR-181a-5p	SNHG12
FANCI	hsa-miR-195-5p	SNHG12
FANCI	hsa-miR-497-5p	SNHG12
FBXO5	hsa-miR-181a-5p	SNHG12
FEM1B	hsa-miR-15a-5p	SNHG12
FRY	hsa-miR-424-5p	SNHG12
G2E3	hsa-miR-497-5p	SNHG12
GALNT4	hsa-miR-181a-5p	SNHG12
GALNT4	hsa-miR-181b-5p	SNHG12
GHITM	hsa-miR-181a-5p	SNHG12
GOLT1B	hsa-miR-195-5p	SNHG12
GOLT1B	hsa-miR-497-5p	SNHG12
GPD2	hsa-miR-199a-5p	SNHG12
GPD2	hsa-miR-199b-5p	SNHG12
GPN3	hsa-miR-497-5p	SNHG12
GSR	hsa-miR-181b-5p	SNHG12
GSTCD	hsa-miR-497-5p	SNHG12
GTSE1	hsa-miR-181a-5p	SNHG12
GTSE1	hsa-miR-181c-5p	SNHG12
H2AFZ	hsa-miR-181c-5p	SNHG12
HELLS	hsa-miR-181c-5p	SNHG12
HELLS	hsa-miR-195-5p	SNHG12
HELLS	hsa-miR-497-5p	SNHG12
HMGA1	hsa-miR-195-5p	SNHG12
HMGB2	hsa-miR-181c-5p	SNHG12
HNRNPA1	hsa-miR-199a-5p	SNHG12
HNRNPA1	hsa-miR-199b-5p	SNHG12
HNRNPH2	hsa-miR-199a-5p	SNHG12
HSP90B1	hsa-miR-181a-5p	SNHG12
IPO7	hsa-miR-199a-5p	SNHG12
IPO7	hsa-miR-199b-5p	SNHG12
IPO8	hsa-miR-181a-5p	SNHG12
IPO8	hsa-miR-181b-5p	SNHG12
IQGAP3	hsa-miR-195-5p	SNHG12
ITGBL1	hsa-miR-15a-5p	SNHG12
ITGBL1	hsa-miR-15b-5p	SNHG12
ITGBL1	hsa-miR-16-5p	SNHG12
KIAA0101	hsa-miR-181a-5p	SNHG12
KIAA0101	hsa-miR-181c-5p	SNHG12
KIAA0101	hsa-miR-497-5p	SNHG12
KIF18B	hsa-miR-195-5p	SNHG12
KIF18B	hsa-miR-497-5p	SNHG12
KIF23	hsa-miR-195-5p	SNHG12
KIF23	hsa-miR-497-5p	SNHG12
KIF2C	hsa-miR-181a-5p	SNHG12
KIF2C	hsa-miR-181c-5p	SNHG12
KIF2C	hsa-miR-195-5p	SNHG12
KIF3B	hsa-miR-15a-5p	SNHG12
KIF3B	hsa-miR-181a-5p	SNHG12
KLF5	hsa-miR-503-5p	SNHG12
KPNA1	hsa-miR-181a-5p	SNHG12
KPNA1	hsa-miR-181b-5p	SNHG12
KPNA4	hsa-miR-181a-5p	SNHG12
KPNB1	hsa-miR-181a-5p	SNHG12
KPNB1	hsa-miR-181c-5p	SNHG12
KPNB1	hsa-miR-181d-5p	SNHG12
KPNB1	hsa-miR-199a-5p	SNHG12
KPNB1	hsa-miR-199b-5p	SNHG12
LCLAT1	hsa-miR-181a-5p	SNHG12
LRP12	hsa-miR-181a-5p	SNHG12
LRPPRC	hsa-miR-497-5p	SNHG12
LTA4H	hsa-miR-197-3p	SNHG12
MAPK8	hsa-miR-195-5p	SNHG12
MAPKAPK5	hsa-miR-497-5p	SNHG12
METAP2	hsa-miR-181c-5p	SNHG12
METAP2	hsa-miR-199b-5p	SNHG12
MIER3	hsa-miR-199b-5p	SNHG12
MRPL13	hsa-miR-181a-5p	SNHG12
MRPS16	hsa-miR-181a-5p	SNHG12
MRPS35	hsa-miR-181a-5p	SNHG12
MRPS35	hsa-miR-199a-5p	SNHG12
MRPS35	hsa-miR-199b-5p	SNHG12
MSH2	hsa-miR-181c-5p	SNHG12
MSL1	hsa-miR-195-5p	SNHG12
NAA25	hsa-miR-181d-5p	SNHG12
NAA25	hsa-miR-497-5p	SNHG12
NCAPG	hsa-miR-181a-5p	SNHG12
NCAPG	hsa-miR-181c-5p	SNHG12
NCAPG	hsa-miR-497-5p	SNHG12
NEO1	hsa-miR-15a-5p	SNHG12
NLN	hsa-miR-181a-5p	SNHG12
NLN	hsa-miR-181c-5p	SNHG12
NRP1	hsa-miR-320b	SNHG12
OCRL	hsa-miR-195-5p	SNHG12
OCRL	hsa-miR-497-5p	SNHG12
OIP5	hsa-miR-195-5p	SNHG12
OIP5	hsa-miR-497-5p	SNHG12
ORC1L	hsa-miR-181c-5p	SNHG12
OTX1	hsa-miR-195-5p	SNHG12
PA2G4	hsa-miR-497-5p	SNHG12
PAFAH1B2	hsa-miR-15a-5p	SNHG12
PAPOLA	hsa-miR-181a-5p	SNHG12
PAPOLA	hsa-miR-199b-5p	SNHG12
PCBP2	hsa-miR-497-5p	SNHG12
PCGF5	hsa-miR-15a-5p	SNHG12
PCGF5	hsa-miR-424-5p	SNHG12
PDCD10	hsa-miR-181a-5p	SNHG12
PDHX	hsa-miR-181a-5p	SNHG12
PDHX	hsa-miR-199a-5p	SNHG12
PDHX	hsa-miR-199b-5p	SNHG12
PDK1	hsa-miR-181a-5p	SNHG12
PFKFB4	hsa-miR-195-5p	SNHG12
PITPNB	hsa-miR-181c-5p	SNHG12
PLEKHA1	hsa-miR-15a-5p	SNHG12
PLK1	hsa-miR-181a-5p	SNHG12
PLS3	hsa-miR-320b	SNHG12
POLQ	hsa-miR-181a-5p	SNHG12
POLQ	hsa-miR-181c-5p	SNHG12
POLQ	hsa-miR-195-5p	SNHG12
POLQ	hsa-miR-497-5p	SNHG12
POLR1A	hsa-miR-195-5p	SNHG12
POP1	hsa-miR-181a-5p	SNHG12
POP1	hsa-miR-181c-5p	SNHG12
POU2F1	hsa-miR-15a-5p	SNHG12
POU2F1	hsa-miR-199a-5p	SNHG12
POU2F1	hsa-miR-199b-5p	SNHG12
PRDM4	hsa-miR-181a-5p	SNHG12
PRDM4	hsa-miR-181b-5p	SNHG12
PSME3	hsa-miR-497-5p	SNHG12
PTCD3	hsa-miR-181a-5p	SNHG12
PVR	hsa-miR-181a-5p	SNHG12
RACGAP1	hsa-miR-195-5p	SNHG12
RACGAP1	hsa-miR-497-5p	SNHG12
RAD21	hsa-miR-199a-5p	SNHG12
RAD21	hsa-miR-199b-5p	SNHG12
RAD23B	hsa-miR-199a-5p	SNHG12
RAD23B	hsa-miR-199b-5p	SNHG12
RAD51	hsa-miR-195-5p	SNHG12
RAD51	hsa-miR-497-5p	SNHG12
RAN	hsa-miR-181a-5p	SNHG12
RAN	hsa-miR-181c-5p	SNHG12
RAN	hsa-miR-497-5p	SNHG12
RAPH1	hsa-miR-320b	SNHG12
REEP5	hsa-miR-197-3p	SNHG12
RFWD3	hsa-miR-497-5p	SNHG12
RIF1	hsa-miR-199b-5p	SNHG12
RIF1	hsa-miR-497-5p	SNHG12
RNF111	hsa-miR-15a-5p	SNHG12
RNF34	hsa-miR-181a-5p	SNHG12
RPS6KB1	hsa-miR-181c-5p	SNHG12
RPS6KB1	hsa-miR-497-5p	SNHG12
SFXN1	hsa-miR-195-5p	SNHG12
SFXN1	hsa-miR-497-5p	SNHG12
SFXN5	hsa-miR-195-5p	SNHG12
SLC7A1	hsa-miR-181a-5p	SNHG12
SMAP1	hsa-miR-181a-5p	SNHG12
SNX4	hsa-miR-181a-5p	SNHG12
SOCS5	hsa-miR-15a-5p	SNHG12
SPATS2	hsa-miR-497-5p	SNHG12
SPTY2D1	hsa-miR-15a-5p	SNHG12
SUDS3	hsa-miR-181a-5p	SNHG12
SUZ12	hsa-miR-181c-5p	SNHG12
SUZ12	hsa-miR-199a-5p	SNHG12
SUZ12	hsa-miR-199b-5p	SNHG12
SUZ12	hsa-miR-497-5p	SNHG12
TFRC	hsa-miR-181c-5p	SNHG12
TLK1	hsa-miR-497-5p	SNHG12
TLK2	hsa-miR-497-5p	SNHG12
TM9SF3	hsa-miR-181a-5p	SNHG12
TMEM132B	hsa-miR-503-5p	SNHG12
TMEM14A	hsa-miR-181a-5p	SNHG12
TMEM194A	hsa-miR-181c-5p	SNHG12
TMEM194A	hsa-miR-497-5p	SNHG12
TPX2	hsa-miR-181a-5p	SNHG12
TPX2	hsa-miR-181c-5p	SNHG12
TXNRD1	hsa-miR-181a-5p	SNHG12
TXNRD1	hsa-miR-181b-5p	SNHG12
TYMS	hsa-miR-195-5p	SNHG12
TYMS	hsa-miR-497-5p	SNHG12
UBA6	hsa-miR-195-5p	SNHG12
UBA6	hsa-miR-497-5p	SNHG12
UBR3	hsa-miR-15a-5p	SNHG12
UNG	hsa-miR-497-5p	SNHG12
USP14	hsa-miR-195-5p	SNHG12
VDAC1	hsa-miR-181a-5p	SNHG12
WBP11	hsa-miR-195-5p	SNHG12
WBP11	hsa-miR-497-5p	SNHG12
WDR43	hsa-miR-497-5p	SNHG12
WDR67	hsa-miR-181a-5p	SNHG12
WDR67	hsa-miR-181c-5p	SNHG12
WDR67	hsa-miR-497-5p	SNHG12
WHSC1	hsa-miR-195-5p	SNHG12
WHSC1	hsa-miR-497-5p	SNHG12
WNK1	hsa-miR-320b	SNHG12
WSB2	hsa-miR-181a-5p	SNHG12
WSB2	hsa-miR-181b-5p	SNHG12
WSB2	hsa-miR-497-5p	SNHG12
XPO7	hsa-miR-181a-5p	SNHG12
YARS2	hsa-miR-195-5p	SNHG12
YARS2	hsa-miR-497-5p	SNHG12
YWHAG	hsa-miR-181c-5p	SNHG12
YWHAQ	hsa-miR-181a-5p	SNHG12
YWHAQ	hsa-miR-181c-5p	SNHG12
YWHAQ	hsa-miR-497-5p	SNHG12
YWHAZ	hsa-miR-181a-5p	SNHG12
ZMAT3	hsa-miR-15a-5p	SNHG12
ZNF207	hsa-miR-497-5p	SNHG12
ZNF367	hsa-miR-497-5p	SNHG12
ZWILCH	hsa-miR-181a-5p	SNHG12
ZWILCH	hsa-miR-181c-5p	SNHG12
ABAT	hsa-miR-21-5p	SNHG1
ANKIB1	hsa-miR-497-5p	SNHG1
ANLN	hsa-miR-195-5p	SNHG1
ANLN	hsa-miR-497-5p	SNHG1
APH1B	hsa-miR-21-5p	SNHG1
ARHGAP11A	hsa-miR-101-3p	SNHG1
ARHGEF12	hsa-miR-590-5p	SNHG1
ARIH1	hsa-miR-15a-5p	SNHG1
ATAD5	hsa-miR-195-5p	SNHG1
ATAD5	hsa-miR-497-5p	SNHG1
ATE1	hsa-miR-15a-5p	SNHG1
ATF6	hsa-miR-15a-5p	SNHG1
ATRX	hsa-miR-590-5p	SNHG1
ATXN1L	hsa-miR-18a-5p	SNHG1
AUH	hsa-miR-21-5p	SNHG1
AVL9	hsa-miR-195-5p	SNHG1
BAZ2A	hsa-miR-195-5p	SNHG1
BOLA3	hsa-miR-497-5p	SNHG1
BTG2	hsa-miR-21-5p	SNHG1
BTG2	hsa-miR-590-5p	SNHG1
BUB1B	hsa-miR-101-3p	SNHG1
C10orf76	hsa-miR-18a-5p	SNHG1
C1orf112	hsa-miR-101-3p	SNHG1
C2orf69	hsa-miR-497-5p	SNHG1
C5orf41	hsa-miR-18a-5p	SNHG1
C5orf41	hsa-miR-421	SNHG1
C5orf41	hsa-miR-590-5p	SNHG1
C7orf42	hsa-miR-18a-5p	SNHG1
CAMK2N1	hsa-miR-182-5p	SNHG1
CCDC43	hsa-miR-145-5p	SNHG1
CCDC43	hsa-miR-497-5p	SNHG1
CCNB1	hsa-miR-195-5p	SNHG1
CCNB1	hsa-miR-497-5p	SNHG1
CCNE1	hsa-miR-101-3p	SNHG1
CCNE1	hsa-miR-195-5p	SNHG1
CCNE2	hsa-miR-101-3p	SNHG1
CCNE2	hsa-miR-145-5p	SNHG1
CCT2	hsa-miR-497-5p	SNHG1
CD302	hsa-miR-18a-5p	SNHG1
CDC27	hsa-miR-497-5p	SNHG1
CDC42SE2	hsa-miR-18a-5p	SNHG1
CDC42SE2	hsa-miR-590-5p	SNHG1
CDK12	hsa-miR-195-5p	SNHG1
CDK12	hsa-miR-497-5p	SNHG1
CDK18	hsa-miR-18a-5p	SNHG1
CDK5R1	hsa-miR-101-3p	SNHG1
CEP55	hsa-miR-101-3p	SNHG1
CEP55	hsa-miR-497-5p	SNHG1
CHEK1	hsa-miR-145-5p	SNHG1
CHEK1	hsa-miR-195-5p	SNHG1
CHEK1	hsa-miR-497-5p	SNHG1
CHIC1	hsa-miR-590-5p	SNHG1
CHORDC1	hsa-miR-497-5p	SNHG1
CITED2	hsa-miR-421	SNHG1
CLSPN	hsa-miR-195-5p	SNHG1
CLSPN	hsa-miR-497-5p	SNHG1
COL3A1	hsa-miR-16-5p	SNHG1
COPS7B	hsa-miR-101-3p	SNHG1
CREBL2	hsa-miR-18a-5p	SNHG1
CREBL2	hsa-miR-590-5p	SNHG1
CRIM1	hsa-miR-590-5p	SNHG1
CSNK1G3	hsa-miR-590-5p	SNHG1
CTDSPL	hsa-miR-18a-5p	SNHG1
DAB2	hsa-miR-590-5p	SNHG1
DENR	hsa-miR-101-3p	SNHG1
DENR	hsa-miR-195-5p	SNHG1
DENR	hsa-miR-497-5p	SNHG1
DNAJC9	hsa-miR-497-5p	SNHG1
DNM1L	hsa-miR-497-5p	SNHG1
DPYSL3	hsa-miR-16-5p	SNHG1
DRAM1	hsa-miR-18a-5p	SNHG1
DYRK2	hsa-miR-15a-5p	SNHG1
E2F8	hsa-miR-101-3p	SNHG1
EDNRA	hsa-miR-590-5p	SNHG1
EED	hsa-miR-497-5p	SNHG1
EFTUD2	hsa-miR-195-5p	SNHG1
EFTUD2	hsa-miR-497-5p	SNHG1
EIF2C2	hsa-miR-195-5p	SNHG1
EIF4EBP2	hsa-miR-21-5p	SNHG1
ENC1	hsa-miR-18a-5p	SNHG1
ENC1	hsa-miR-421	SNHG1
EPB41L1	hsa-miR-18a-5p	SNHG1
EPT1	hsa-miR-101-3p	SNHG1
EPT1	hsa-miR-195-5p	SNHG1
EPT1	hsa-miR-497-5p	SNHG1
FAM122A	hsa-miR-18a-5p	SNHG1
FAM73A	hsa-miR-15a-5p	SNHG1
FANCI	hsa-miR-195-5p	SNHG1
FANCI	hsa-miR-497-5p	SNHG1
FAT4	hsa-miR-590-3p	SNHG1
FBXW4	hsa-miR-421	SNHG1
FBXW4	hsa-miR-590-5p	SNHG1
FCHSD2	hsa-miR-18a-5p	SNHG1
FEM1B	hsa-miR-15a-5p	SNHG1
FNIP2	hsa-miR-18a-5p	SNHG1
FNIP2	hsa-miR-590-5p	SNHG1
FRY	hsa-miR-424-5p	SNHG1
G2E3	hsa-miR-497-5p	SNHG1
GNG12	hsa-miR-18a-5p	SNHG1
GPN3	hsa-miR-497-5p	SNHG1
GRINL1A	hsa-miR-21-5p	SNHG1
GSTCD	hsa-miR-497-5p	SNHG1
GTF3C3	hsa-miR-497-5p	SNHG1
HCFC2	hsa-miR-18a-5p	SNHG1
HELLS	hsa-miR-145-5p	SNHG1
HELLS	hsa-miR-195-5p	SNHG1
HELLS	hsa-miR-497-5p	SNHG1
HGF	hsa-miR-590-5p	SNHG1
IQGAP3	hsa-miR-101-3p	SNHG1
IQGAP3	hsa-miR-195-5p	SNHG1
ITGBL1	hsa-miR-15a-5p	SNHG1
ITGBL1	hsa-miR-15b-5p	SNHG1
ITGBL1	hsa-miR-16-5p	SNHG1
ITM2B	hsa-miR-182-5p	SNHG1
KBTBD4	hsa-miR-21-5p	SNHG1
KCTD12	hsa-miR-590-3p	SNHG1
KIAA0101	hsa-miR-497-5p	SNHG1
KIAA1109	hsa-miR-590-5p	SNHG1
KIAA1191	hsa-miR-18a-5p	SNHG1
KIF18B	hsa-miR-195-5p	SNHG1
KIF18B	hsa-miR-497-5p	SNHG1
KIF23	hsa-miR-195-5p	SNHG1
KIF23	hsa-miR-497-5p	SNHG1
KIF3B	hsa-miR-15a-5p	SNHG1
L3MBTL4	hsa-miR-21-5p	SNHG1
LAT2	hsa-miR-330-5p	SNHG1
LHFP	hsa-miR-590-5p	SNHG1
LMO7	hsa-miR-421	SNHG1
LOC100129034	hsa-miR-18a-5p	SNHG1
LRPPRC	hsa-miR-497-5p	SNHG1
LRRFIP1	hsa-miR-18a-5p	SNHG1
LRRK2	hsa-miR-18a-5p	SNHG1
MACF1	hsa-miR-18a-5p	SNHG1
MAMDC2	hsa-miR-18a-5p	SNHG1
MAMDC2	hsa-miR-590-5p	SNHG1
MAPKAPK5	hsa-miR-497-5p	SNHG1
MBNL1	hsa-miR-18a-5p	SNHG1
MBNL1	hsa-miR-590-5p	SNHG1
MMD	hsa-miR-101-3p	SNHG1
MND1	hsa-miR-101-3p	SNHG1
MORF4L1	hsa-miR-182-5p	SNHG1
MSH2	hsa-miR-145-5p	SNHG1
MSL1	hsa-miR-195-5p	SNHG1
MYO5C	hsa-miR-18a-5p	SNHG1
MYOF	hsa-miR-18a-5p	SNHG1
MYOF	hsa-miR-421	SNHG1
NAA25	hsa-miR-101-3p	SNHG1
NAA25	hsa-miR-145-5p	SNHG1
NAA25	hsa-miR-497-5p	SNHG1
NCAPG	hsa-miR-497-5p	SNHG1
NCRNA00087	hsa-miR-18a-5p	SNHG1
NEO1	hsa-miR-15a-5p	SNHG1
NFATC3	hsa-miR-18a-5p	SNHG1
NFIC	hsa-miR-590-3p	SNHG1
NKIRAS1	hsa-miR-18a-5p	SNHG1
NOTCH2	hsa-miR-18a-5p	SNHG1
NR3C1	hsa-miR-18a-5p	SNHG1
OIP5	hsa-miR-195-5p	SNHG1
OIP5	hsa-miR-497-5p	SNHG1
PA2G4	hsa-miR-497-5p	SNHG1
PAFAH1B1	hsa-miR-21-5p	SNHG1
PAFAH1B2	hsa-miR-15a-5p	SNHG1
PAG1	hsa-miR-590-5p	SNHG1
PAIP2B	hsa-miR-21-5p	SNHG1
PCBP2	hsa-miR-145-5p	SNHG1
PCBP2	hsa-miR-497-5p	SNHG1
PCDHAC2	hsa-miR-18a-5p	SNHG1
PCGF5	hsa-miR-15a-5p	SNHG1
PCGF5	hsa-miR-424-5p	SNHG1
PDCD4	hsa-miR-21-5p	SNHG1
PDGFC	hsa-miR-18a-5p	SNHG1
PDPK1	hsa-miR-421	SNHG1
PDPK1	hsa-miR-590-5p	SNHG1
PDZD2	hsa-miR-590-5p	SNHG1
PELI2	hsa-miR-21-5p	SNHG1
PFKFB4	hsa-miR-195-5p	SNHG1
PIP5K1B	hsa-miR-21-5p	SNHG1
PKD2	hsa-miR-18a-5p	SNHG1
PLEKHA1	hsa-miR-15a-5p	SNHG1
PLS3	hsa-miR-18a-5p	SNHG1
PLSCR4	hsa-miR-18a-5p	SNHG1
PLXDC2	hsa-miR-18a-5p	SNHG1
POLQ	hsa-miR-195-5p	SNHG1
POLQ	hsa-miR-497-5p	SNHG1
POLR1A	hsa-miR-195-5p	SNHG1
POP1	hsa-miR-101-3p	SNHG1
PREPL	hsa-miR-590-5p	SNHG1
PRKCE	hsa-miR-590-5p	SNHG1
PTHLH	hsa-miR-101-3p	SNHG1
PTPN13	hsa-miR-18a-5p	SNHG1
PTPN13	hsa-miR-590-3p	SNHG1
PTPN13	hsa-miR-590-5p	SNHG1
PURA	hsa-miR-590-5p	SNHG1
RAB11FIP5	hsa-miR-18a-5p	SNHG1
RAD51	hsa-miR-195-5p	SNHG1
RAD51	hsa-miR-497-5p	SNHG1
RAD51C	hsa-miR-101-3p	SNHG1
RAN	hsa-miR-101-3p	SNHG1
RAN	hsa-miR-497-5p	SNHG1
RBMS3	hsa-miR-590-5p	SNHG1
RFWD3	hsa-miR-497-5p	SNHG1
RNF111	hsa-miR-15a-5p	SNHG1
RPS6KA3	hsa-miR-590-5p	SNHG1
RPS6KB1	hsa-miR-145-5p	SNHG1
RPS6KB1	hsa-miR-497-5p	SNHG1
SACM1L	hsa-miR-590-5p	SNHG1
SEC61A2	hsa-miR-101-3p	SNHG1
SEL1L3	hsa-miR-18a-5p	SNHG1
SESN1	hsa-miR-21-5p	SNHG1
SFXN1	hsa-miR-195-5p	SNHG1
SFXN1	hsa-miR-497-5p	SNHG1
SFXN5	hsa-miR-195-5p	SNHG1
SHROOM3	hsa-miR-590-5p	SNHG1
SLC25A46	hsa-miR-18a-5p	SNHG1
SLC2A13	hsa-miR-590-5p	SNHG1
SMAD7	hsa-miR-590-3p	SNHG1
SNTB2	hsa-miR-590-5p	SNHG1
SOCS5	hsa-miR-15a-5p	SNHG1
SOCS5	hsa-miR-590-5p	SNHG1
SOX5	hsa-miR-21-5p	SNHG1
SPATS2	hsa-miR-497-5p	SNHG1
SPRED1	hsa-miR-18a-5p	SNHG1
SPRED1	hsa-miR-590-3p	SNHG1
STC1	hsa-miR-101-3p	SNHG1
STK25	hsa-miR-101-3p	SNHG1
STXBP1	hsa-miR-590-3p	SNHG1
SYNJ1	hsa-miR-18a-5p	SNHG1
SYNJ1	hsa-miR-590-5p	SNHG1
TGFBR3	hsa-miR-590-5p	SNHG1
THOC2	hsa-miR-145-5p	SNHG1
THUMPD1	hsa-miR-590-5p	SNHG1
TLK1	hsa-miR-497-5p	SNHG1
TLK2	hsa-miR-497-5p	SNHG1
TMEM117	hsa-miR-101-3p	SNHG1
TMEM133	hsa-miR-421	SNHG1
TOR1AIP1	hsa-miR-18a-5p	SNHG1
TRIM2	hsa-miR-18a-5p	SNHG1
TRIM2	hsa-miR-421	SNHG1
TRIM2	hsa-miR-590-5p	SNHG1
TRIM22	hsa-miR-18a-5p	SNHG1
TSC22D3	hsa-miR-18a-5p	SNHG1
TSC22D3	hsa-miR-421	SNHG1
TTL	hsa-miR-101-3p	SNHG1
TYMS	hsa-miR-195-5p	SNHG1
TYMS	hsa-miR-497-5p	SNHG1
UBA6	hsa-miR-195-5p	SNHG1
UBA6	hsa-miR-497-5p	SNHG1
UBE2F	hsa-miR-101-3p	SNHG1
UBR3	hsa-miR-15a-5p	SNHG1
UBR3	hsa-miR-21-5p	SNHG1
UNG	hsa-miR-101-3p	SNHG1
UNG	hsa-miR-497-5p	SNHG1
USP14	hsa-miR-101-3p	SNHG1
USP14	hsa-miR-195-5p	SNHG1
USP53	hsa-miR-590-5p	SNHG1
VPS13D	hsa-miR-18a-5p	SNHG1
WBP11	hsa-miR-195-5p	SNHG1
WBP11	hsa-miR-497-5p	SNHG1
WDR43	hsa-miR-497-5p	SNHG1
WDR67	hsa-miR-497-5p	SNHG1
WDR7	hsa-miR-21-5p	SNHG1
WSB2	hsa-miR-497-5p	SNHG1
YAP1	hsa-miR-18a-5p	SNHG1
YARS2	hsa-miR-195-5p	SNHG1
YARS2	hsa-miR-497-5p	SNHG1
YOD1	hsa-miR-421	SNHG1
ZFPM2	hsa-miR-590-5p	SNHG1
ZMAT3	hsa-miR-15a-5p	SNHG1
ZNF207	hsa-miR-497-5p	SNHG1
ZNF367	hsa-miR-497-5p	SNHG1
ZYG11B	hsa-miR-18a-5p	SNHG1
NUDT13	hsa-miR-370-3p	PTOV1-AS1
ANTXR1	hsa-miR-32-5p	PITPNA-AS1
ATP11C	hsa-miR-32-5p	PITPNA-AS1
CALD1	hsa-miR-32-5p	PITPNA-AS1
CCNJL	hsa-miR-92a-3p	PITPNA-AS1
CHSY3	hsa-miR-32-5p	PITPNA-AS1
COL5A1	hsa-miR-32-5p	PITPNA-AS1
CPEB2	hsa-miR-363-3p	PITPNA-AS1
CPEB4	hsa-miR-25-3p	PITPNA-AS1
CWF19L2	hsa-miR-223-3p	PITPNA-AS1
DACT1	hsa-miR-32-5p	PITPNA-AS1
EDEM1	hsa-miR-363-3p	PITPNA-AS1
EMB	hsa-miR-363-3p	PITPNA-AS1
EMP1	hsa-miR-92b-3p	PITPNA-AS1
EPDR1	hsa-miR-363-3p	PITPNA-AS1
FBN1	hsa-miR-32-5p	PITPNA-AS1
FCHO2	hsa-miR-25-3p	PITPNA-AS1
FCHO2	hsa-miR-363-3p	PITPNA-AS1
FOXP1	hsa-miR-25-3p	PITPNA-AS1
HNF1B	hsa-miR-363-3p	PITPNA-AS1
IFNAR2	hsa-miR-92a-3p	PITPNA-AS1
ITM2B	hsa-miR-25-3p	PITPNA-AS1
JPH2	hsa-miR-32-5p	PITPNA-AS1
KCNK1	hsa-miR-25-3p	PITPNA-AS1
LEPROT	hsa-miR-32-5p	PITPNA-AS1
MGLL	hsa-miR-363-3p	PITPNA-AS1
MSRB3	hsa-miR-32-5p	PITPNA-AS1
PAM	hsa-miR-25-3p	PITPNA-AS1
PCDH7	hsa-miR-32-5p	PITPNA-AS1
PLS3	hsa-miR-363-3p	PITPNA-AS1
PLS3	hsa-miR-92a-3p	PITPNA-AS1
RECK	hsa-miR-32-5p	PITPNA-AS1
RNF103	hsa-miR-25-3p	PITPNA-AS1
SGPP1	hsa-miR-25-3p	PITPNA-AS1
SH3D19	hsa-miR-363-3p	PITPNA-AS1
STS	hsa-miR-25-3p	PITPNA-AS1
STS	hsa-miR-92a-3p	PITPNA-AS1
TMEM188	hsa-miR-92a-3p	PITPNA-AS1
TMEM22	hsa-miR-92b-3p	PITPNA-AS1
TMEM87A	hsa-miR-363-3p	PITPNA-AS1
TMEM90B	hsa-miR-32-5p	PITPNA-AS1
YIPF5	hsa-miR-25-3p	PITPNA-AS1
ZER1	hsa-miR-363-3p	PITPNA-AS1
ACPL2	hsa-miR-29a-3p	OIP5-AS1
ACPL2	hsa-miR-29b-3p	OIP5-AS1
ACTL6A	hsa-miR-30a-5p	OIP5-AS1
ACTL6A	hsa-miR-30b-5p	OIP5-AS1
ACTL6A	hsa-miR-30c-5p	OIP5-AS1
ACTL6A	hsa-miR-30d-5p	OIP5-AS1
ACTR3	hsa-miR-30b-5p	OIP5-AS1
ACTR3	hsa-miR-30c-5p	OIP5-AS1
ACTR3	hsa-miR-30d-5p	OIP5-AS1
ACTR3	hsa-miR-30e-5p	OIP5-AS1
ACTR3B	hsa-miR-30a-5p	OIP5-AS1
ADA	hsa-miR-29a-3p	OIP5-AS1
ADAM10	hsa-miR-29b-3p	OIP5-AS1
ADAM17	hsa-miR-148a-3p	OIP5-AS1
AGPS	hsa-miR-30b-5p	OIP5-AS1
AGPS	hsa-miR-30c-5p	OIP5-AS1
AGPS	hsa-miR-30e-5p	OIP5-AS1
AHR	hsa-miR-18a-5p	OIP5-AS1
ALG10	hsa-miR-30b-5p	OIP5-AS1
ALG10	hsa-miR-30c-5p	OIP5-AS1
ALG10	hsa-miR-30d-5p	OIP5-AS1
ANKIB1	hsa-miR-26b-5p	OIP5-AS1
ANKIB1	hsa-miR-338-3p	OIP5-AS1
ANKIB1	hsa-miR-455-5p	OIP5-AS1
ANKRD44	hsa-miR-421	OIP5-AS1
ANKRD52	hsa-miR-29a-3p	OIP5-AS1
ANLN	hsa-miR-200b-3p	OIP5-AS1
AP1AR	hsa-miR-30c-5p	OIP5-AS1
